doctor_id,doctor_name,specialty,clinic_name,city,region,tier,active_flag,last_updated
D0001,Dr Omar El-Sayed,Cardiology,Elite Clinic,Dubai,Gulf,C,1,2023-05-23
D0002,Dr Mohamed Hassan,Internal Medicine,Hope Clinic,Jeddah,Gulf,C,1,2023-04-06
D0003,Dr Youssef Hassan,General Practice,Noor Clinic,Cairo,Central,B,1,2024-07-12
D0004,Dr Khaled Mahmoud,Cardiology,Care Clinic,Giza,Central,C,1,2024-03-08
D0005,Dr Khaled Mostafa,Internal Medicine,Shifa Clinic,Sohag,South,A,1,2025-05-17
D0006,Dr Ahmed Mostafa,ENT,Shifa Clinic,Damanhur,North,C,0,2024-01-23
D0007,Dr Omar Hassan,Neurology,Shifa Clinic,Jeddah,Gulf,C,1,2023-02-16
D0008,Dr Khaled Hassan,Internal Medicine,Shifa Clinic,Alexandria,North,B,1,2025-05-04
D0009,Dr Hassan Saad,Gastroenterology,Care Clinic,Ismailia,East,C,1,2023-03-15
D0010,Dr Omar Mostafa,Pulmonology,Care Clinic,Cairo,Central,B,1,2024-10-17
D0011,Dr Youssef Mahmoud,Cardiology,Life Clinic,Riyadh,Gulf,B,1,2023-11-20
D0012,Dr Youssef Hassan,Neurology,Shifa Clinic,Qena,South,B,1,2024-10-20
D0013,Dr Hassan Ali,General Practice,Shifa Clinic,Asyut,South,C,1,2024-03-14
D0014,Dr Ahmed Hassan,General Practice,Elite Clinic,Asyut,South,B,1,2025-05-31
D0015,Dr Youssef Mostafa,Pediatrics,Shifa Clinic,Qena,South,C,1,2024-09-02
D0016,Dr Ali Saad,Internal Medicine,Shifa Clinic,Cairo,Central,C,1,2023-10-01
D0017,Dr Omar Mahmoud,Pediatrics,Hope Clinic,Tanta,North,B,1,2025-01-09
D0018,Dr Hassan Mostafa,Internal Medicine,Care Clinic,Qena,South,C,1,2024-10-16
D0019,Dr Ahmed Mostafa,Pulmonology,Shifa Clinic,Sohag,South,C,1,2024-06-27
D0020,Dr Ali Mahmoud,Internal Medicine,Care Clinic,Marsa Matruh,West,C,1,2025-05-01
D0021,Dr Ali Mostafa,Internal Medicine,Care Clinic,Alexandria,North,A,1,2023-03-12
D0022,Dr Ali Mostafa,ENT,Noor Clinic,Qena,South,C,1,2024-06-24
D0023,Dr Omar Mahmoud,Endocrinology,Noor Clinic,Qena,South,C,1,2024-11-18
D0024,Dr Hassan Mostafa,Internal Medicine,Care Clinic,Giza,Central,B,1,2023-01-22
D0025,Dr Ahmed El-Sayed,Cardiology,Shifa Clinic,Cairo,Central,A,1,2023-08-23
D0026,Dr Mohamed Saad,Endocrinology,Hope Clinic,Damanhur,North,B,1,2024-07-06
D0027,Dr Ahmed El-Sayed,Endocrinology,Elite Clinic,Giza,Central,C,1,2023-07-14
D0028,Dr Omar Saad,Pediatrics,Elite Clinic,Siwa,West,B,1,2023-02-25
D0029,Dr Mohamed Hassan,Pediatrics,Care Clinic,Alexandria,North,C,1,2023-04-22
D0030,Dr Ali El-Sayed,Pulmonology,Noor Clinic,Giza,Central,B,1,2023-09-13
D0031,Dr Ahmed Hassan,Cardiology,Care Clinic,Cairo,Central,C,1,2023-01-16
D0032,Dr Mohamed Ali,ENT,Life Clinic,Siwa,West,B,1,2023-03-02
D0033,Dr Ali Mostafa,ENT,Elite Clinic,Siwa,West,B,1,2025-01-18
D0034,Dr Hassan Saad,Pulmonology,Hope Clinic,Riyadh,Gulf,B,1,2023-03-01
D0035,Dr Ali Mostafa,Neurology,Care Clinic,Damanhur,North,A,1,2024-05-29
D0036,Dr Omar Hassan,Internal Medicine,Noor Clinic,Damanhur,North,C,1,2023-03-11
D0037,Dr Youssef Saad,Endocrinology,Hope Clinic,Damanhur,North,C,1,2023-03-25
D0038,Dr Khaled Ali,Gastroenterology,Care Clinic,Giza,Central,B,1,2023-09-02
D0039,Dr Ahmed Ali,Gastroenterology,Hope Clinic,Jeddah,Gulf,B,0,2023-03-16
D0040,Dr Khaled El-Sayed,Internal Medicine,Care Clinic,Cairo,Central,C,1,2023-05-16
D0041,Dr Hassan Saad,Pulmonology,Hope Clinic,Suez,East,B,1,2023-11-06
D0042,Dr Mohamed Mahmoud,General Practice,Life Clinic,Damanhur,North,B,1,2025-06-18
D0043,Dr Omar Mahmoud,General Practice,Care Clinic,Damanhur,North,B,1,2023-08-04
D0044,Dr Ahmed El-Sayed,Gastroenterology,Elite Clinic,Jeddah,Gulf,C,1,2025-05-16
